Timestamp,City,State/Province,Country,Bonus question:  Have you made a PR to our GitHub org yet?,
2/4/2017 12:34:51,Nashville,Tennessee,USA,"Yes, for a project",
2/4/2017 12:35:18,Oak Ridge,TN,USA,"Yes, for a project",
2/4/2017 12:36:38,Cypress,Texas,United States,No,
2/4/2017 12:37:18,Washington DC,DC,USA,"Yes, for a project",
2/4/2017 12:39:22,New York,NY,USA,"Yes, for a project",
2/4/2017 12:39:45,Austin,Texas,United States of America,No,
2/4/2017 12:41:26,Houston,Texas,United States,"Yes, for a project",
2/4/2017 12:44:31,Chicago,Illinois,USA ,No,
2/4/2017 12:47:06,Madrid,,Spain,No,
2/4/2017 12:53:51,Olympia ,WA,United States ,"Yes, for a project",
2/4/2017 12:56:17,"Washington, D.C.",D.C.,US,"Yes, for a project",
2/4/2017 12:57:56,Syracuse,NY,USA,"Yes, for a project",
2/4/2017 13:00:39,Cambridge,,United Kingdom,No,
2/4/2017 13:25:41,Naperville,IL,United States,No,
2/4/2017 13:36:20,Chicago,IL,USA,"Yes, for a project",
2/4/2017 14:34:03,Konstanz,,Germany,"Yes, for a project",
2/4/2017 14:36:26,Chapel Hill,NC ,USA,"Yes, for a project",
2/4/2017 14:36:46,Logansport ,Indiana ,United States ,"Yes, for a project",
2/4/2017 14:40:12,Washington,DC,USA,"Yes, for a project",
2/4/2017 14:41:59,St. Louis,MO,USA,No,
2/4/2017 14:56:45,Christchurch,Canterbury,New Zealand,No,
2/4/2017 15:00:22,New York City,New York,USA,No,
2/4/2017 15:09:06,Seattle,WA,USA,"Yes, for a project",
2/4/2017 15:27:15,Indianapolis,Indiana,USA,No,
2/4/2017 16:26:37,Glastonbury,CT,United States,"Yes, for a project",
2/4/2017 16:56:25,fredericton,New Brunswick,Canada,"Yes, for a project",
2/4/2017 17:01:56,Little Rock,AR,USA,"Yes, for a project",
2/4/2017 17:21:21,Austin,Texas,United States,"Yes, for a project",
2/4/2017 18:07:32,Boston,Massachusetts,United States,No,
2/4/2017 18:38:39,Chicago,Illinois,USA,No,
2/4/2017 18:40:59,Vancouver,BC,Canada,No,
2/4/2017 20:33:03,Seattle,Washington,USA,"Yes, for a project",
2/4/2017 20:47:12,Delhi,Delhi,India,No,
2/4/2017 22:16:41,Dubai,Dubai,United Arab Emirates,"Yes, to the playground",
2/4/2017 22:36:43,San Mateo,CA,USA,"Yes, for a project",
2/5/2017 10:27:54,Louisville,KY,USA,"Yes, to the playground",
2/5/2017 11:23:46,Bloomington,IN,USA,No,
2/5/2017 12:37:09,Stockholm,,Sweden,No,
2/5/2017 12:38:18,Austin,Texas,United States,No,
2/5/2017 12:39:03,Minneapolis,Minnesota,United States of America,No,
2/5/2017 12:42:55,Santa Fe,NM,USA,No,
2/5/2017 12:49:48,Charlotte,NC,United States,"Yes, for a project",
2/5/2017 12:55:32,Philadelphia,PA,United States,No,
2/5/2017 12:57:00,Grand Haven,Michigan,United States,No,
2/5/2017 13:24:37,New York,NY,USA,No,
2/5/2017 13:31:42,Brooklyn,NY,USA,No,
2/5/2017 13:39:14,Seattle,WA,United States,"Yes, for a project",
2/5/2017 13:48:00,Boston,MA,United States,No,
2/5/2017 14:01:17,Boston,MA,USA,No,
2/5/2017 15:52:00,Greensboro,NC,United States,No,
2/5/2017 16:11:05,Chicago,IL,US,No,
2/5/2017 17:11:18,New York,NY,USA,No,
2/5/2017 19:16:52,Atlanta,GA,USA,No,"*move to SF, CA in June"
2/6/2017 6:14:12,Arlington,VA,USA,No,
2/6/2017 6:36:46,Washington,D.C.,USA,No,
2/6/2017 6:55:06,Milwaukee,Wisconsin,USA,No,
2/6/2017 8:36:47,Linville,VA,United States,No,
2/6/2017 8:58:53,Austin,TX,USA,No,
2/6/2017 11:17:48,Washington,DC,USA,"Yes, for a project",
2/6/2017 12:49:36,Denver,Colorado,United States,No,
2/7/2017 1:01:14,New York,NY,US,"Yes, for a project",
2/7/2017 2:15:33,Como,Lombardia,Italy,No,
2/7/2017 5:21:55,Centreville,Virginia,United States,No,
2/7/2017 7:13:24,Cordova,,United States,No,
2/7/2017 13:25:50,SF Bay Area,California,USA,No,
2/8/2017 0:14:55,Edmonton,Alberta,Canada,"Yes, to the playground",
2/8/2017 7:53:36,Hong Kong,,China,No,
2/8/2017 8:55:00,Brooklyn,New York,United States,No,
2/8/2017 13:40:48,Orlando,FL,USA,"Yes, for a project",
2/8/2017 23:04:44,Austin,TX,USA,No,
2/9/2017 9:41:58,New York,NY,USA,No,
2/9/2017 10:02:04,Boston,MA,United States,No,
2/9/2017 10:11:51,Nashville,TN,United States,"Yes, for a project",
2/9/2017 10:40:08,Fremont,CA,USA,No,
2/9/2017 10:46:08,Wellington,Florida,United States,No,
2/9/2017 12:06:35,Columbus,OH,United States,"Yes, for a project",